id,study_word,study_letter,study_letter_location,study_word_syllables
,run,r,beginning,1
,rice,r,beginning,1
,rat,r,beginning,1
,rag,r,beginning,1
,rake,r,beginning,1
,red,r,beginning,1
,wrist,r,beginning,1
,raisin,r,beginning,2
,rabbit,r,beginning,2
,ribbon,r,beginning,2
,radio,r,beginning,3
,rocket,r,beginning,2
,ranch,r,beginning,1
,rich,r,beginning,1
,race,r,beginning,1
,ring,r,beginning,1
,rain,r,beginning,1
,rug,r,beginning,1
,ran,r,beginning,1
,write,r,beginning,1
,rip,r,beginning,1
,recess,r,beginning,2
,rock,r,beginning,1
,read,r,beginning,1
,wrap,r,beginning,1
,sit,s,beginning,1
,soup,s,beginning,1
,salt,s,beginning,1
,seal,s,beginning,1
,sick,s,beginning,1
,sing,s,beginning,1
,sun,s,beginning,1
,save,s,beginning,1
,seed,s,beginning,1
,seat,s,beginning,1
,city,s,beginning,1
,said,s,beginning,1
,sad,s,beginning,1
,sorry,s,beginning,1
,soap,s,beginning,1
,sock,s,beginning,1
,sail,s,beginning,1
,sour,s,beginning,1
,sign,s,beginning,1
,sand,s,beginning,1
,soft,s,beginning,1
,seven,s,beginning,1
,sink,s,beginning,1
,son,s,beginning,1
,safe,s,beginning,1
,ceiling,s,beginning,2
,center,s,beginning,2
,circle,s,beginning,2
,city,s,beginning,2
,cycle,s,beginning,2
,saddle,s,beginning,2
,sadly,s,beginning,2
,safety,s,beginning,2
,sailboat,s,beginning,2
,salad,s,beginning,2
,sandwich,s,beginning,2
,scissors,s,beginning,2
,seafood,s,beginning,2
,seat belt,s,beginning,2
,second,s,beginning,2
,senior,s,beginning,2
,sewing,s,beginning,2
,singer,s,beginning,2
,soccer,s,beginning,2
,subtract,s,beginning,2
,celebrate,s,beginning,3
,centipede,s,beginning,3
,Central Park,s,beginning,3
,cereal,s,beginning,3
,cinnamon,s,beginning,3
,citizen,s,beginning,3
,city hall,s,beginning,3
,sea lion,s,beginning,3
,self-control,s,beginning,3
,separate,s,beginning,3
,signature,s,beginning,3
,soccer ball,s,beginning,3
,soda pop,s,beginning,3
,sour cream,s,beginning,3
,suggestion,s,beginning,3
,summary,s,beginning,3
,sunflower,s,beginning,3
,syllable,s,beginning,3
,sympathize,s,beginning,3
,synonym,s,beginning,3
,beside,s,middle,2
,blossom,s,middle,2
,bracelet,s,middle,2
,chasing,s,middle,2
,decide,s,middle,2
,dissect,s,middle,2
,dresser,s,middle,2
,eyesight,s,middle,2
,faucet,s,middle,2
,fossil,s,middle,2
,glasses,s,middle,2
,guessing,s,middle,2
,kissing,s,middle,2
,lesson,s,middle,2
,listen,s,middle,2
,message,s,middle,2
,racing,s,middle,2
,receipt,s,middle,2
,reset,s,middle,2
,whistle,s,middle,2
,bicycle,s,middle,3
,courtesy,s,middle,3
,December,s,middle,3
,deceptive,s,middle,3
,decimal,s,middle,3
,descendant,s,middle,3
,dinosaur,s,middle,3
,disagree,s,middle,3
,disappear,s,middle,3
,discipline,s,middle,3
,disobey,s,middle,3
,gasoline,s,middle,3
,grasshopper,s,middle,3
,medicine,s,middle,3
,officer,s,middle,3
,passenger,s,middle,3
,principal,s,middle,3
,recipe,s,middle,3
,recycle,s,middle,3
,tennis shoes,s,middle,3
,address,s,end,2
,anxious,s,end,2
,birdhouse,s,end,2
,bookcase,s,end,2
,campus,s,end,2
,careless,s,end,2
,cautious,s,end,2
,decrease,s,end,2
,doghouse,s,end,2
,famous,s,end,2
,lettuce,s,end,2
,minus,s,end,2
,necklace,s,end,2
,office,s,end,2
,police,s,end,2
,practice,s,end,2
,shoelace,s,end,2
,tennis,s,end,2
,walrus,s,end,2
,White House,s,end,2
,ambitious,s,end,3
,apple juice,s,end,3
,Columbus,s,end,3
,contagious,s,end,3
,courageous,s,end,3
,courteous,s,end,3
,curious,s,end,3
,dangerous,s,end,3
,delicious,s,end,3
,embarrass,s,end,3
,enormous,s,end,3
,fabulous,s,end,3
,generous,s,end,3
,happiness,s,end,3
,introduce,s,end,3
,lemon juice,s,end,3
,nutritious,s,end,3
,octopus,s,end,3
,poisonous,s,end,3
,wilderness,s,end,3
,run,r,beginning,1
,rice,r,beginning,1
,rat,r,beginning,1
,rag,r,beginning,1
,rake,r,beginning,1
,red,r,beginning,1
,wrist,r,beginning,1
,raisin,r,beginning,2
,rabbit,r,beginning,2
,ribbon,r,beginning,2
,radio,r,beginning,3
,rocket,r,beginning,2
,ranch,r,beginning,1
,rich,r,beginning,1
,race,r,beginning,1
,ring,r,beginning,1
,rain,r,beginning,1
,rug,r,beginning,1
,ran,r,beginning,1
,write,r,beginning,1
,rip,r,beginning,1
,recess,r,beginning,2
,rock,r,beginning,1
,read,r,beginning,1
,wrap,r,beginning,1
,sit,s,beginning,1
,soup,s,beginning,1
,salt,s,beginning,1
,seal,s,beginning,1
,sick,s,beginning,1
,sing,s,beginning,1
,sun,s,beginning,1
,save,s,beginning,1
,seed,s,beginning,1
,seat,s,beginning,1
,city,s,beginning,1
,said,s,beginning,1
,sad,s,beginning,1
,sorry,s,beginning,1
,soap,s,beginning,1
,sock,s,beginning,1
,sail,s,beginning,1
,sour,s,beginning,1
,sign,s,beginning,1
,sand,s,beginning,1
,soft,s,beginning,1
,seven,s,beginning,1
,sink,s,beginning,1
,son,s,beginning,1
,safe,s,beginning,1
,ceiling,s,beginning,2
,center,s,beginning,2
,circle,s,beginning,2
,city,s,beginning,2
,cycle,s,beginning,2
,saddle,s,beginning,2
,sadly,s,beginning,2
,safety,s,beginning,2
,sailboat,s,beginning,2
,salad,s,beginning,2
,sandwich,s,beginning,2
,scissors,s,beginning,2
,seafood,s,beginning,2
,seat belt,s,beginning,2
,second,s,beginning,2
,senior,s,beginning,2
,sewing,s,beginning,2
,singer,s,beginning,2
,soccer,s,beginning,2
,subtract,s,beginning,2
,celebrate,s,beginning,3
,centipede,s,beginning,3
,Central Park,s,beginning,3
,cereal,s,beginning,3
,cinnamon,s,beginning,3
,citizen,s,beginning,3
,city hall,s,beginning,3
,sea lion,s,beginning,3
,self-control,s,beginning,3
,separate,s,beginning,3
,signature,s,beginning,3
,soccer ball,s,beginning,3
,soda pop,s,beginning,3
,sour cream,s,beginning,3
,suggestion,s,beginning,3
,summary,s,beginning,3
,sunflower,s,beginning,3
,syllable,s,beginning,3
,sympathize,s,beginning,3
,synonym,s,beginning,3
,beside,s,middle,2
,blossom,s,middle,2
,bracelet,s,middle,2
,chasing,s,middle,2
,decide,s,middle,2
,dissect,s,middle,2
,dresser,s,middle,2
,eyesight,s,middle,2
,faucet,s,middle,2
,fossil,s,middle,2
,glasses,s,middle,2
,guessing,s,middle,2
,kissing,s,middle,2
,lesson,s,middle,2
,listen,s,middle,2
,message,s,middle,2
,racing,s,middle,2
,receipt,s,middle,2
,reset,s,middle,2
,whistle,s,middle,2
,bicycle,s,middle,3
,courtesy,s,middle,3
,December,s,middle,3
